date,cityid,case_count,death_count,case_rate,death_rate,new_case_rate,new_death_rate,new_case_count,new_death_count
2020-1-27,Los Angeles,1,0,0.00996,0.0,0.00142,0,0.143,0
2020-1-27,New York City,0,0,0.0,0.0,0,0,0,0
2020-1-27,Chicago,1,0,0.0194,0.0,0.00277,0,0.143,0
2020-1-27,Houston,0,0,0.0,0.0,0,0,0,0
2020-1-27,Phoenix,1,0,0.0223,0.0,0.00318,0,0.143,0
2020-1-27,San Diego,0,0,0.0,0.0,0,0,0,0
2020-1-27,Dallas,0,0,0.0,0.0,0,0,0,0
2020-1-27,Las Vegas,0,0,0.0,0.0,0,0,0,0
2020-1-27,Seattle,0,0,0.0,0.0,0,0,0,0
2020-1-27,Fort Worth,0,0,0.0,0.0,0,0,0,0
2020-1-27,San Antonio,0,0,0.0,0.0,0,0,0,0
2020-1-27,San Jose,0,0,0.0,0.0,0,0,0,0
2020-1-27,Detroit,0,0,0.0,0.0,0,0,0,0
2020-1-27,Philadelphia,0,0,0.0,0.0,0,0,0,0
2020-1-27,Columbus,0,0,0.0,0.0,0,0,0,0
2020-1-27,Austin,0,0,0.0,0.0,0,0,0,0
2020-1-27,Charlotte,0,0,0.0,0.0,0,0,0,0
2020-1-27,Indianapolis,0,0,0.0,0.0,0,0,0,0
2020-1-27,Jacksonville,0,0,0.0,0.0,0,0,0,0
2020-1-27,Memphis,0,0,0.0,0.0,0,0,0,0
2020-1-27,San Francisco,0,0,0.0,0.0,0,0,0,0
2020-1-27,El Paso,0,0,0.0,0.0,0,0,0,0
2020-1-27,Baltimore,0,0,0.0,0.0,0,0,0,0
2020-1-27,Portland,0,0,0.0,0.0,0,0,0,0
2020-1-27,Boston,0,0,0.0,0.0,0,0,0,0
2020-1-27,Oklahoma City,0,0,0.0,0.0,0,0,0,0
2020-1-27,Louisville,0,0,0.0,0.0,0,0,0,0
2020-1-27,Denver,0,0,0.0,0.0,0,0,0,0
2020-1-27,Washington,0,0,0.0,0.0,0,0,0,0
2020-1-27,Nashville,0,0,0.0,0.0,0,0,0,0
2020-1-27,Milwaukee,0,0,0.0,0.0,0,0,0,0
2020-1-27,Albuquerque,0,0,0.0,0.0,0,0,0,0
2020-1-27,Tucson,0,0,0.0,0.0,0,0,0,0
2020-1-27,Fresno,0,0,0.0,0.0,0,0,0,0
2020-1-27,Sacramento,0,0,0.0,0.0,0,0,0,0
2020-1-27,Atlanta,0,0,0.0,0.0,0,0,0,0
2020-1-27,Kansas City,0,0,0.0,0.0,0,0,0,0
2020-1-27,Miami,0,0,0.0,0.0,0,0,0,0
2020-1-27,Raleigh,0,0,0.0,0.0,0,0,0,0
2020-1-27,Omaha,0,0,0.0,0.0,0,0,0,0
2020-1-27,Oakland,0,0,0.0,0.0,0,0,0,0
2020-1-27,Minneapolis,0,0,0.0,0.0,0,0,0,0
2020-1-27,Tampa,0,0,0.0,0.0,0,0,0,0
2020-1-27,New Orleans,0,0,0.0,0.0,0,0,0,0
2020-1-27,Wichita,0,0,0.0,0.0,0,0,0,0
2020-1-27,Cleveland,0,0,0.0,0.0,0,0,0,0
2020-1-27,Bakersfield,0,0,0.0,0.0,0,0,0,0
2020-1-27,Honolulu,0,0,0.0,0.0,0,0,0,0
2020-1-27,Boise,0,0,0.0,0.0,0,0,0,0
2020-1-27,Salt Lake City,0,0,0.0,0.0,0,0,0,0
2020-1-27,Virginia Beach,0,0,0.0,0.0,0,0,0,0
2020-1-27,Colorado Springs,0,0,0.0,0.0,0,0,0,0
2020-1-27,Tulsa,0,0,0.0,0.0,0,0,0,0
2020-1-28,Los Angeles,1,0,0.00996,0.0,0.00142,0,0.143,0
2020-1-28,New York City,0,0,0.0,0.0,0,0,0,0
2020-1-28,Chicago,1,0,0.0194,0.0,0.00277,0,0.143,0
2020-1-28,Houston,0,0,0.0,0.0,0,0,0,0
2020-1-28,Phoenix,1,0,0.0223,0.0,0.00318,0,0.143,0
2020-1-28,San Diego,0,0,0.0,0.0,0,0,0,0
2020-1-28,Dallas,0,0,0.0,0.0,0,0,0,0
2020-1-28,Las Vegas,0,0,0.0,0.0,0,0,0,0
2020-1-28,Seattle,0,0,0.0,0.0,0,0,0,0
2020-1-28,Fort Worth,0,0,0.0,0.0,0,0,0,0
2020-1-28,San Antonio,0,0,0.0,0.0,0,0,0,0
2020-1-28,San Jose,0,0,0.0,0.0,0,0,0,0
2020-1-28,Detroit,0,0,0.0,0.0,0,0,0,0
2020-1-28,Philadelphia,0,0,0.0,0.0,0,0,0,0
2020-1-28,Columbus,0,0,0.0,0.0,0,0,0,0
2020-1-28,Austin,0,0,0.0,0.0,0,0,0,0
2020-1-28,Charlotte,0,0,0.0,0.0,0,0,0,0
2020-1-28,Indianapolis,0,0,0.0,0.0,0,0,0,0
2020-1-28,Jacksonville,0,0,0.0,0.0,0,0,0,0
2020-1-28,Memphis,0,0,0.0,0.0,0,0,0,0
2020-1-28,San Francisco,0,0,0.0,0.0,0,0,0,0
2020-1-28,El Paso,0,0,0.0,0.0,0,0,0,0
2020-1-28,Baltimore,0,0,0.0,0.0,0,0,0,0
2020-1-28,Portland,0,0,0.0,0.0,0,0,0,0
2020-1-28,Boston,0,0,0.0,0.0,0,0,0,0
2020-1-28,Oklahoma City,0,0,0.0,0.0,0,0,0,0
2020-1-28,Louisville,0,0,0.0,0.0,0,0,0,0
2020-1-28,Denver,0,0,0.0,0.0,0,0,0,0
2020-1-28,Washington,0,0,0.0,0.0,0,0,0,0
2020-1-28,Nashville,0,0,0.0,0.0,0,0,0,0
2020-1-28,Milwaukee,0,0,0.0,0.0,0,0,0,0
2020-1-28,Albuquerque,0,0,0.0,0.0,0,0,0,0
2020-1-28,Tucson,0,0,0.0,0.0,0,0,0,0
2020-1-28,Fresno,0,0,0.0,0.0,0,0,0,0
2020-1-28,Sacramento,0,0,0.0,0.0,0,0,0,0
2020-1-28,Atlanta,0,0,0.0,0.0,0,0,0,0
2020-1-28,Kansas City,0,0,0.0,0.0,0,0,0,0
2020-1-28,Miami,0,0,0.0,0.0,0,0,0,0
2020-1-28,Raleigh,0,0,0.0,0.0,0,0,0,0
2020-1-28,Omaha,0,0,0.0,0.0,0,0,0,0
2020-1-28,Oakland,0,0,0.0,0.0,0,0,0,0
2020-1-28,Minneapolis,0,0,0.0,0.0,0,0,0,0
2020-1-28,Tampa,0,0,0.0,0.0,0,0,0,0
2020-1-28,New Orleans,0,0,0.0,0.0,0,0,0,0
2020-1-28,Wichita,0,0,0.0,0.0,0,0,0,0
2020-1-28,Cleveland,0,0,0.0,0.0,0,0,0,0
2020-1-28,Bakersfield,0,0,0.0,0.0,0,0,0,0
2020-1-28,Honolulu,0,0,0.0,0.0,0,0,0,0
