date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-12,Cleveland,-0.0083499998,-0.0272,0.048999999,-0.0122,0.00358
2020-1-12,Bakersfield,-0.0097399997,-0.0103,0.049600001,0.0089400001,-0.00477
2020-1-12,Honolulu,0.0042900001,-0.0142,0.0222,-0.0006730000000000001,0.0219
2020-1-12,Boise,0.0199,0.043400000999999994,0.0125,0.0285,0.0069599999
2020-1-12,Salt Lake City,0.0173,0.0286,0.0309,0.015699999,-0.0073799998
2020-1-12,Virginia Beach,-0.0031600001,0.0139,-0.091399997,-0.0102,0.000566
2020-1-12,Colorado Springs,-0.0039599998999999995,-0.0263,0.0173,0.00263,-0.0112
2020-1-12,Tulsa,-0.0031300001,-0.0063299998,-0.0231,-0.0106,0.0154
2020-1-13,Los Angeles,-0.0087900003,-0.0146,0.000371,-0.0080899997,-0.00385
2020-1-13,New York City,-0.0027300001000000003,0.0011699999,-0.0153,-0.024700001,0.0041499999
2020-1-13,Chicago,-0.028100001,-0.021299999,-0.061299998,-0.046599999,-0.0163
2020-1-13,Houston,-0.0135,-0.0097399997,-0.0162,-8.4699997e-05,-0.0041100001
2020-1-13,Phoenix,0.009379999699999999,0.024900001,-0.0047499998,0.0080899997,0.00398
2020-1-13,San Diego,-0.0009860000599999999,0.0086000003,0.0018100000000000002,0.0057999999,-0.0068000001
2020-1-13,Dallas,-0.00061799999,0.00034599998999999994,-0.009379999699999999,0.0050799999999999994,0.0026799999
2020-1-13,Las Vegas,-0.0073199999,-0.0127,-0.0149,0.00251,-0.0053300001
2020-1-13,Seattle,0.0019499998999999999,-0.0057299999,0.029899999,-0.00556,0.0033799998999999997
2020-1-13,Fort Worth,0.0048799999,0.00339,0.0309,-0.00556,0.0041
2020-1-13,San Antonio,-0.0098000001,-0.0233,-0.0253,0.0187,-0.00364
2020-1-13,San Jose,-0.0031900001,0.0063800002,0.0060999999,0.0111,-0.0050400002
2020-1-13,Detroit,-0.0123,-0.0028399999999999996,-0.09260000300000001,-0.04410000099999999,-0.0060000001
2020-1-13,Philadelphia,-0.0101,-0.017200001,0.09269999699999999,-0.0080500003,-0.0187
2020-1-13,Columbus,-0.0088200001,-0.00135,0.00116,-0.0156,0.00131
2020-1-13,Austin,-0.0070500001,-0.017200001,0.0079500005,-0.0186,0.00233
2020-1-13,Charlotte,0.00233,0.0053900001,-0.0123,-0.007090000000000001,0.00392
2020-1-13,Indianapolis,-0.00923,0.0127,-0.022700001,-0.040600002,-0.0079600001
2020-1-13,Jacksonville,-0.00248,-0.0046600001,0.0026899999999999997,0.0008410000000000001,-0.0359
2020-1-13,Memphis,-0.0030100001,0.0008430000199999999,-0.053100000999999994,-0.0061200000000000004,-0.0076799998
2020-1-13,San Francisco,0.0055900002,0.0024600001,0.0348,-0.0131,0.0052800002
2020-1-13,El Paso,-0.0113,-0.0143,-0.0166,0.0051099998,0.00856
2020-1-13,Baltimore,0.0036599999,0.0117,0.0274,-0.00532,-0.0143
2020-1-13,Portland,0.0065100002,0.00758,0.033500001,-0.0068899998,0.029300001000000003
2020-1-13,Boston,-0.0041499999,-0.0061499998,-0.0418,0.0308,-0.0063499999
2020-1-13,Oklahoma City,0.0065799998,-2.8199999999999998e-05,0.058499999000000004,0.0027699999,-0.0045599998
2020-1-13,Louisville,0.0125,-0.00309,0.0014600001000000002,0.0101,0.0124
2020-1-13,Denver,0.0027099998999999997,-0.0101,-0.0065700002,0.0030199999,0.0093700001
2020-1-13,Washington,-0.0101,-0.0112,-0.0581,-0.047499999,-0.019200001
2020-1-13,Nashville,0.0112,0.015900001,3.64e-06,-0.0005770000299999999,0.0069700000000000005
2020-1-13,Milwaukee,-0.049199997999999995,-0.0447,-0.065200001,-0.081900001,-0.030999999
2020-1-13,Albuquerque,0.0081000002,0.0229,0.0103,0.0113,-0.0141
2020-1-13,Tucson,-0.0024100000000000002,-0.0040500001,0.0195,0.0124,-0.025
2020-1-13,Fresno,0.0073199999,0.0040799999,0.0116,0.020400001,-0.00202
2020-1-13,Sacramento,0.0115,0.0154,-0.0199,0.0152,-0.0030799999
2020-1-13,Atlanta,-0.0153,-0.0136,-0.0156,-0.032000002,-0.0099999998
2020-1-13,Kansas City,-0.0018800000000000002,-0.0028699999999999997,-0.041200001,-0.018999999,0.0163
2020-1-13,Miami,-0.0101,-0.0125,-0.0026,-0.0111,-0.0153
2020-1-13,Raleigh,0.0089199999,-0.0064599997999999995,0.019400001,0.000505,0.00266
2020-1-13,Omaha,-0.008290000300000001,-0.0067699998999999995,-0.035500001,0.000227,-0.020500001
2020-1-13,Oakland,0.0108,0.0106,0.0126,0.022000000000000002,-0.00061799999
2020-1-13,Minneapolis,-0.0165,-0.024700001,-0.0537,-0.0044499998999999995,-0.0219
2020-1-13,Tampa,0.0069900001,0.016799999,-0.0103,-6.7499997e-05,-0.0076899999
2020-1-13,New Orleans,-0.0041899998,0.0088,0.0131,0.0295,-0.0277
2020-1-13,Wichita,0.0037600000000000003,-0.0113,0.006670000000000001,-0.00611,0.0197
2020-1-13,Cleveland,-0.013000000000000001,-0.031800002,0.031500001,-0.02,0.00392
2020-1-13,Bakersfield,-0.0109,-0.0149,0.086900003,-0.015799999,-0.0099400003
2020-1-13,Honolulu,0.0017800000000000001,-0.022600001,0.030300001,-0.018200001,0.021299999
2020-1-13,Boise,0.0080899997,0.029100001,-0.0047900002,0.0132,0.0070500001
2020-1-13,Salt Lake City,0.0088499999,0.0187,0.0124,0.0099999998,-0.0073699998
2020-1-13,Virginia Beach,-0.0123,-0.0036500001,-0.091700003,-0.0141,0.0062600002
2020-1-13,Colorado Springs,-0.0063399998,-0.026699999,0.0309,0.0082999999,-0.0121
2020-1-13,Tulsa,-0.0080300001,-0.013999999999999999,-0.0513,0.00235,0.0127
2020-1-14,Los Angeles,-0.0059199999,-0.0117,-0.0037,0.0012699999999999999,-0.0040500001
2020-1-14,New York City,-0.0032800001,-0.000136,0.0056099999,-0.022600001,0.00031299999999999996
2020-1-14,Chicago,-0.0319,-0.0262,-0.0634,-0.047899999000000006,-0.017200001
2020-1-14,Houston,-0.019200001,-0.0208,-0.0272,-0.0068999999,-0.0068600001
2020-1-14,Phoenix,0.0072300001,0.0185,0.0044900002,0.0021899999,0.0020800000000000003
2020-1-14,San Diego,0.0033299999999999996,0.0118,0.0146,0.0059600002,-0.0052399999
2020-1-14,Dallas,0.00037400000000000004,0.00053199998,0.00471,0.0048000002000000005,-0.00030000001
2020-1-14,Las Vegas,-0.0099900002,-0.0090199998,-0.020400001,0.0020999999,-0.0047900002
2020-1-14,Seattle,-0.0217,-0.0252,0.016000001,-0.038400002,-0.008899999799999999
2020-1-14,Fort Worth,0.000352,-0.0008929999900000001,0.0134,-0.0099999998,0.0052100001
2020-1-14,San Antonio,-0.0154,-0.029999999,-0.0515,0.0073500001,-0.0038399999
2020-1-14,San Jose,-0.00075900002,0.0107,-0.020099999,0.00176,0.0014600001000000002
2020-1-14,Detroit,-0.017999999,-0.00159,-0.062700003,-0.052200000999999996,-0.0083900001
2020-1-14,Philadelphia,-0.0090300003,-0.0127,0.114,-0.015799999,-0.022000000000000002
2020-1-14,Columbus,-0.007890000000000001,-0.0029899999,-0.0113,-0.00716,0.00105
2020-1-14,Austin,-0.0065899999,-0.0189,0.0046100002000000005,-0.0128,-0.000207
2020-1-14,Charlotte,0.0014199999999999998,0.0047900002,-0.0076799998,-0.0276,0.0039300001
2020-1-14,Indianapolis,-0.0102,0.0064599997999999995,-0.035399999,-0.0296,-0.007209999999999999
2020-1-14,Jacksonville,-0.0107,-0.0173,-0.0077599999,-0.00575,-0.0359
2020-1-14,Memphis,-0.0018100000000000002,0.0005719999900000001,-0.08349999799999999,0.0035600001000000003,-0.0011
2020-1-14,San Francisco,0.0061499998,0.00158,0.064800002,-0.0031000001,0.00157
2020-1-14,El Paso,-0.0132,-0.0108,-0.0112,-0.0083100004,0.0107
2020-1-14,Baltimore,0.0091500003,0.026799998999999998,0.0115,-0.028200001000000002,-0.0109
2020-1-14,Portland,0.0013,0.004520000000000001,0.0127,-0.0255,0.025900001000000002
2020-1-14,Boston,-0.0066099999999999996,-0.0126,-0.041299999,0.025,-0.0132
2020-1-14,Oklahoma City,0.0073699998,0.0015400000000000001,0.0495,0.016799999,-0.0066900002
2020-1-14,Louisville,0.0036500001,-0.00205,-0.036899998999999996,-0.0014900001,0.0017100000000000001
2020-1-14,Denver,0.0052,-0.0071999999,0.009479999499999999,-0.0071899998,0.0188
2020-1-14,Washington,0.024499998999999998,0.0119,0.038199998,0.0451,-0.0048600002
2020-1-14,Nashville,0.0091800001,0.0116,-0.0107,-0.0053599998,-0.00112
2020-1-14,Milwaukee,-0.054499999,-0.046500001,-0.058499999000000004,-0.095899999,-0.0317
2020-1-14,Albuquerque,0.00404,0.0132,0.0209,0.0072599998999999995,-0.0108
2020-1-14,Tucson,-0.00315,-0.0043100002000000005,0.015900001,0.008270000100000001,-0.020099999
2020-1-14,Fresno,0.0097200004,0.0091000004,-0.0032500001,0.0141,-0.0029200001
2020-1-14,Sacramento,0.00244,0.0096800001,-0.036600001,0.0011300000000000001,3.6699998999999995e-05
2020-1-14,Atlanta,-0.0151,-0.0155,-0.0141,-0.035300002000000004,-0.0058900001
2020-1-14,Kansas City,0.0071399999,-0.000227,-0.0122,0.0228,0.0154
2020-1-14,Miami,-0.0135,-0.0144,-0.0049000001,-0.0189,-0.016899999
2020-1-14,Raleigh,0.0066300002000000005,-0.0091500003,0.0143,-0.0057299999,0.0079300003
